Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_close,DJ_open,DJ_high,DJ_low,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Price,OS_Open,OS_High,OS_Low,OS_Trend,SF_Price,SF_Open,SF_High,SF_Low,SF_Volume,SF_Trend,USB_Price,USB_Open,USB_High,USB_Low,USB_Trend,PLT_Price,PLT_Open,PLT_High,PLT_Low,PLT_Trend,PLD_Price,PLD_Open,PLD_High,PLD_Low,PLD_Trend,RHO_PRICE,USDI_Price,USDI_Open,USDI_High,USDI_Low,USDI_Volume,USDI_Trend,GDX_Open,GDX_High,GDX_Low,GDX_Close,GDX_Adj Close,GDX_Volume,USO_Open,USO_High,USO_Low,USO_Close,USO_Adj Close,USO_Volume
12-02-2025,73.70666667,73.70666667,71.97,72.48333333,72.48333333,7011140,23050.8,23144.7,22798.35,23045.25,23045.25,279660000,76171.08,76188.24,76459.72,75388.39,76171.08,10450000,421.45,426.7,412.25,421.9,421.9,8870000,90.22,89.9275,90.647,89.465,0,75.18,76.82,76.91,74.92,371410,1,71.24,72.98,73,71.03,1,32.785,32.255,32.87,31.875,65370,1,6.697,6.71,6.71,6.693,0,1048.5,1036.9,1050,1029.3,1,8174,8200,8208,8154,1,9961,86.9,86.796,87.034,86.327,21620,1,407,450,393.4,423.85,423.85,4130000,136.14,137,127.36,131.6,131.6,2950000
11-02-2025,74.07333333,74.26666667,72.73666667,72.97666667,72.97666667,10347273.33,23383.55,23390.05,22986.65,23071.8,23071.8,267970000,76293.6,77384.98,77387.28,76030.59,76293.6,9830000,422.85,435.55,420.3,421.45,421.45,7730000,89.913,90.166,90.2015,89.253,0,77,75.94,77.29,75.9,349470,1,73.08,72.11,73.33,72,1,32.322,32.495,32.66,31.65,67810,0,6.697,6.688,6.699,6.685,0,1035.7,1035.8,1040,1015.9,0,8208,8210,8274,8162,1,9976,86.789,87.476,87.566,86.639,14820,0,458.65,460.2,383.6,406.95,406.95,4440000,141.22,141.99,134.43,136.27,136.27,1120000
10-02-2025,74.25,74.48333333,72.40666667,73.42333333,73.42333333,12150000,23543.8,23568.6,23316.3,23381.6,23381.6,234200000,77311.8,77789.3,77849.58,77106.89,77311.8,7030000,454,454,433.6,435.8,435.8,10210000,90.146,90.4945,90.694,90.109,1,75.87,74.59,76.23,74.51,271700,0,72.01,70.77,72.2,70.61,0,32.491,32.18,32.805,32.03,56880,1,6.713,6.717,6.728,6.709,1,1032.3,1008.9,1041.6,1003.5,0,8180,8200,8244,8162,0,9921,87.469,87.994,87.997,87.429,24810,1,497.9,503.95,452.4,456.15,456.15,1880000,146,146.89,140.47,141.22,141.22,722000
07-02-2025,72.55,73.69333333,71.38333333,72.48666667,72.48666667,8604803.333,23649.5,23694.5,23443.2,23559.95,23559.95,368090000,77860.19,78119.6,78356.98,77475.74,77860.19,10950000,443.75,456.9,441.7,455.8,455.8,8580000,90.492,90.944,91.1175,90.328,1,74.66,74.31,75.12,74.26,290580,0,71,70.56,71.41,70.47,0,32.443,32.65,33.165,32.175,79690,0,6.699,6.668,6.71,6.652,0,1020.8,1023.4,1036.3,1008.7,0,8246,8276,8300,8222,1,9973,87.627,87.598,87.655,87.309,24900,1,534,539.2,484.25,489.9,489.9,2860000,146.9,148.26,144.31,146.27,146.27,519130
06-02-2025,72.44,72.94333333,71.91666667,72.37333333,72.37333333,11226586.67,23761.95,23773.55,23556.25,23603.35,23603.35,306980000,78058.16,78513.36,78551.66,77843.99,78058.16,7990000,445.1,450.25,442.3,443.75,443.75,5480000,90.917,90.852,91.057,90.671,1,74.29,74.71,75.4,74.1,378110,0,70.61,71.18,71.85,70.43,0,32.626,32.755,32.915,32.15,53860,1,6.657,6.649,6.659,6.649,0,1022.3,1018.4,1029.4,1010.6,1,8274,8250,8352,8248,1,9973,87.58,87.336,87.676,87.334,36150,0,533,547.55,524.75,532.3,532.3,1060000,145,149.18,145,146.9,146.9,744220
05-02-2025,72.37333333,72.66,71.40333333,72.36666667,72.36666667,9732510,23801.75,23807.3,23680.45,23696.3,23696.3,267010000,78271.28,78704.6,78735.41,78216.25,78271.28,7990000,438.95,447.85,437.7,444.45,444.45,7180000,90.847,90.363,91.2485,90.3235,0,74.61,76.21,76.34,74.56,343530,1,71.03,72.76,72.97,70.96,1,32.976,32.87,33.215,32.63,67880,1,6.664,6.674,6.674,6.653,1,1025.8,1011.7,1027.4,1007.4,1,8272,8124,8368,8124,0,10136,87.336,87.075,87.501,87.075,28700,0,544,553.5,524,532.05,532.05,1490000,147.49,147.68,145.16,145.93,145.93,659870
04-02-2025,71.58,71.79666667,70.54333333,70.98666667,70.98666667,5657860,23509.9,23762.75,23423.15,23739.25,23739.25,376740000,78583.81,77687.6,78658.59,77402.37,78583.81,11750000,428.7,443,428.7,437.7,437.7,9930000,90.353,89.9665,90.4665,89.4875,0,76.2,75.4,76.66,74.15,576120,1,72.7,72.35,73.35,70.67,1,33.022,32.54,33.195,32.225,61870,1,6.672,6.68,6.68,6.666,1,1012.4,1002.8,1019.5,989.8,0,8130,8112,8200,8112,0,10132,87.07,86.977,87.142,86.948,22360,0,544.5,563,528.15,542.55,542.55,1680000,143.9,146.37,143.46,145.61,145.61,733220
03-02-2025,70.73666667,70.98666667,68.89,70.54333333,70.54333333,5993333.333,23319.35,23381.6,23222,23361.05,23361.05,329670000,77186.74,77063.94,77260.37,76756.09,77186.74,11440000,436,436,410,421.7,421.7,18280000,89.951,89.054,90.014,88.3875,0,75.96,76.79,77.34,75.04,548330,0,73.16,74.14,75.18,72.05,1,32.526,32.46,32.745,31.61,76650,0,6.67,6.703,6.709,6.659,0,1002.5,1045.1,1046.7,996.6,0,8126,8140,8200,8118,0,10149,86.96,86.916,87.305,86.892,24950,0,519,542,506.6,536.5,536.5,1740000,142.52,144.52,140.93,142.16,142.16,557680
01-02-2025,70.91666667,70.91666667,69.44,70.01333333,70.01333333,5734620,23528.6,23632.45,23318.3,23482.15,23482.15,281010000,77505.96,77637.01,77899.05,77006.47,77505.96,15890000,444.95,446.65,431.45,439.9,439.9,6740000,77.56029831,77.55035641,77.89611974,77.23747577,0.486150235,78.35525284,78.35003354,79.37769608,77.26640609,228338.6113,0.479360165,71.61314914,71.63201842,72.64101816,70.53212586,0,22.28023166,22.29233539,22.57455393,21.98332921,40657.58692,0.480566281,7.419222546,7.423137338,7.43048108,7.410054247,0.469171739,1153.483427,1153.618699,1163.975022,1142.460412,0.491368148,8166,8200,8248,8114,1,10025,66.77028429,66.76252133,66.94072899,66.6123811,34830,0.486590038,493.9,537.8,488.15,520.5,520.5,1880000,146.01,147.91,142.21,144.56,144.56,775270
31-01-2025,69.47666667,70.36666667,69.34333333,69.99333333,69.99333333,5876016.667,23296.75,23546.8,23277.4,23508.4,23508.4,304860000,77500.57,76888.89,77605.96,76833.87,77500.57,12630000,434.85,443.8,426.9,441.4,441.4,11280000,89.669,89.953,90.3265,89.5905,0,76.76,77.25,77.51,76.48,17830,1,72.53,73.2,73.84,71.94,0,32.265,32.765,32.92,32.115,65340,0,6.694,6.696,6.7,6.68,1,1043.7,1027.1,1045.6,1023.3,1,8204,8260,8274,8178,1,10024,86.536,86.667,86.682,86.55,19650,0,494.75,502.6,482.55,491.85,491.85,1100000,143,146,141.74,144.91,144.91,976150
